Feature,Importance
Feature 495,4.023204e-06
Feature 496,2.905962e-06
Feature 497,3.957642e-06
Feature 498,3.2079495e-06
Feature 499,4.3185732e-06
Feature 500,4.21637e-06
Feature 501,5.3412637e-06
Feature 502,3.7258096e-06
Feature 503,4.0447057e-06
Feature 504,6.3002353e-06
Feature 505,4.1670614e-06
Feature 506,1.8691669e-06
Feature 507,2.7287845e-06
Feature 508,1.7650596e-06
Feature 509,4.182944e-06
Feature 510,2.8965296e-06
Feature 511,2.011027e-06
Feature 512,5.672375e-06
Feature 513,3.3294964e-06
Feature 514,3.3089684e-06
Feature 515,3.868453e-06
Feature 516,4.847439e-06
Feature 517,6.6295042e-06
Feature 518,4.664599e-06
Feature 519,4.575163e-06
Feature 520,6.4417973e-06
Feature 521,2.986056e-06
Feature 522,1.7651121e-06
Feature 523,5.8464766e-06
Feature 524,2.2270847e-06
Feature 525,3.833942e-06
Feature 526,3.2130818e-06
Feature 527,4.2235315e-06
Feature 528,2.9215992e-06
Feature 529,6.7982337e-06
Feature 530,2.7654003e-06
Feature 531,3.247087e-06
Feature 532,3.0628025e-06
Feature 533,2.9605053e-06
Feature 534,3.5957264e-06
Feature 535,4.6119617e-06
Feature 536,2.4439548e-06
Feature 537,3.593643e-06
Feature 538,3.3429153e-06
Feature 539,4.090735e-06
Feature 540,2.5019517e-06
Feature 541,2.68391e-06
Feature 542,4.9553096e-06
Feature 543,6.2212607e-06
Feature 544,2.8790994e-06
Feature 545,4.2456086e-06
Feature 546,4.24832e-06
Feature 547,3.932951e-06
Feature 548,5.111514e-06
Feature 549,1.8313177e-06
Feature 550,2.9552095e-06
Feature 551,2.1730666e-06
Feature 552,2.823317e-06
Feature 553,7.179157e-06
Feature 554,4.7941576e-06
Feature 555,4.184646e-06
Feature 556,2.196901e-06
Feature 557,3.1450322e-06
Feature 558,2.7312217e-06
Feature 559,2.4607991e-06
Feature 560,3.494731e-06
Feature 561,2.4836077e-06
Feature 562,3.6580107e-06
Feature 563,2.3192931e-06
Feature 564,3.8123235e-06
Feature 565,3.8235085e-06
Feature 566,2.666878e-06
Feature 567,5.224411e-06
Feature 568,4.565444e-06
Feature 569,4.0888117e-06
Feature 570,2.095718e-06
Feature 571,2.3990735e-06
Feature 572,3.1300492e-06
Feature 573,2.899577e-06
Feature 574,1.9447812e-06
Feature 575,4.5043016e-06
Feature 576,2.6772177e-06
Feature 577,2.3531154e-06
Feature 578,3.223915e-06
Feature 579,2.9932694e-06
Feature 580,4.320832e-06
Feature 581,2.9105106e-06
Feature 582,2.1526441e-06
Feature 583,3.568092e-06
Feature 584,2.7802414e-06
Feature 585,2.2352126e-06
Feature 586,3.7938394e-06
Feature 587,3.089538e-06
Feature 588,2.647651e-06
Feature 589,4.774166e-06
Feature 590,6.4558762e-06
Feature 591,5.1357506e-06
Feature 592,3.6170745e-06
Feature 593,3.3198094e-06
Feature 594,2.6926448e-06
Feature 595,3.2077662e-06
Feature 596,3.2232304e-06
Feature 597,3.1111522e-06
Feature 598,3.0420467e-06
Feature 599,2.5341924e-06
Feature 600,3.942818e-06
Feature 601,3.203876e-06
Feature 602,3.8511494e-06
Feature 603,4.7545327e-06
Feature 604,3.9748243e-06
Feature 605,3.623789e-06
Feature 606,4.321227e-06
Feature 607,2.7056078e-06
Feature 608,3.958423e-06
Feature 609,5.126969e-06
Feature 610,4.1290496e-06
Feature 611,3.2292967e-06
Feature 612,3.5826308e-06
Feature 613,2.4342014e-06
Feature 614,2.6926796e-06
Feature 615,3.4554753e-06
Feature 616,2.2182878e-06
Feature 617,3.4605298e-06
Feature 618,2.9565265e-06
Feature 619,4.303567e-06
Feature 620,2.548642e-06
Feature 621,4.682116e-06
Feature 622,4.6753003e-06
Feature 623,4.6250525e-06
Feature 624,3.7434506e-06
Feature 625,2.6975538e-06
Feature 626,3.2316295e-06
Feature 627,5.3358126e-06
Feature 628,2.16519e-06
Feature 629,2.8957525e-06
Feature 630,3.1607092e-06
Feature 631,4.2037354e-06
Feature 632,3.3995254e-06
Feature 633,2.721646e-06
Feature 634,5.8697306e-06
Feature 635,3.1727218e-06
Feature 636,3.6638057e-06
Feature 637,3.5997452e-06
Feature 638,3.3352126e-06
Feature 639,3.7806221e-06
Feature 640,3.4674342e-06
Feature 641,2.8363152e-06
Feature 642,2.8964635e-06
Feature 643,5.7233174e-06
Feature 644,3.2778676e-06
Feature 645,3.193571e-06
Feature 646,3.669803e-06
Feature 647,3.5892563e-06
Feature 648,2.8659151e-06
Feature 649,2.391315e-06
Feature 650,2.738491e-06
Feature 651,3.0844594e-06
Feature 652,7.633598e-06
Feature 653,3.0502863e-06
Feature 654,4.50136e-06
Feature 655,3.8836993e-06
Feature 656,4.7897665e-06
Feature 657,5.1936663e-06
Feature 658,4.177571e-06
Feature 659,3.641484e-06
Feature 660,2.9925038e-06
Feature 661,3.6848844e-06
Feature 662,3.4592904e-06
Feature 663,2.8179252e-06
Feature 664,4.7022518e-06
Feature 665,3.2599212e-06
Feature 666,4.201188e-06
Feature 667,3.6132901e-06
Feature 668,3.269333e-06
Feature 669,2.8457462e-06
Feature 670,4.5803e-06
Feature 671,4.3374785e-06
Feature 672,6.8558766e-06
Feature 673,3.0149758e-06
Feature 674,3.1975283e-06
Feature 675,3.4656073e-06
Feature 676,3.2890518e-06
Feature 677,4.588834e-06
Feature 678,3.8629446e-06
Feature 679,5.1808297e-06
Feature 680,4.490237e-06
Feature 681,4.774842e-06
Feature 682,5.118984e-06
Feature 683,3.6100917e-06
Feature 684,6.234141e-06
Feature 685,3.1895452e-06
Feature 686,4.5860565e-06
Feature 687,2.4638045e-06
Feature 688,5.152945e-06
Feature 689,4.339562e-06
Feature 690,2.5285938e-06
Feature 691,4.001472e-06
Feature 692,2.8650625e-06
Feature 693,5.5288288e-06
